,precision,recall,f1-score,support
barbell biceps curl,0.053237410071942444,0.0524822695035461,0.05285714285714286,705.0
bench press,0.0430327868852459,0.0336,0.03773584905660377,625.0
chest fly machine,0.04807692307692308,0.056925996204933584,0.052128583840139006,527.0
deadlift,0.04500978473581213,0.04339622641509434,0.04418828049951969,530.0
decline bench press,0.035398230088495575,0.0311284046692607,0.033126293995859216,514.0
hammer curl,0.04474708171206226,0.04212454212454213,0.04339622641509434,546.0
hip thrust,0.03442879499217527,0.03949730700179533,0.03678929765886288,557.0
incline bench press,0.054245283018867926,0.06310013717421124,0.05833861762840837,729.0
lat pulldown,0.04707792207792208,0.04489164086687306,0.04595879556259905,646.0
lateral raises,0.05443037974683544,0.051008303677342826,0.052663808940600125,843.0
leg extension,0.042328042328042326,0.040955631399317405,0.04163052905464007,586.0
leg raises,0.03592814371257485,0.03501945525291829,0.035467980295566505,514.0
plank,0.0728952772073922,0.07150050352467271,0.07219115404168785,993.0
pull up,0.03207547169811321,0.027642276422764227,0.029694323144104803,615.0
push up,0.03636363636363636,0.03993344425956739,0.0380650277557494,601.0
romanian deadlift,0.037383177570093455,0.036036036036036036,0.03669724770642202,555.0
russian twist,0.03333333333333333,0.032567049808429116,0.03294573643410853,522.0
shoulder press,0.033797216699801194,0.033203125,0.033497536945812804,512.0
squat,0.05740987983978638,0.057951482479784364,0.05767940979208585,742.0
t bar row,0.04086265607264472,0.05389221556886228,0.046481601032924466,668.0
tricep dips,0.060650887573964495,0.05873925501432665,0.05967976710334789,698.0
tricep pushdown,0.04915254237288136,0.0464,0.047736625514403296,625.0
accuracy,0.04670468490579658,0.04670468490579658,0.04670468490579658,0.04670468490579658
macro avg,0.045084766417206636,0.04509069556383081,0.044952265239803765,13853.0
weighted avg,0.04669769267836961,0.04670468490579658,0.04656561657443062,13853.0
