,precision,recall,f1-score,support
barbell biceps curl,0.052554744525547446,0.05106382978723404,0.051798561151079135,705.0
bench press,0.045,0.0432,0.044081632653061226,625.0
chest fly machine,0.052,0.04933586337760911,0.05063291139240506,527.0
deadlift,0.04363636363636364,0.045283018867924525,0.044444444444444446,530.0
decline bench press,0.032520325203252036,0.0311284046692607,0.03180914512922465,514.0
hammer curl,0.04251386321626617,0.04212454212454213,0.04231830726770929,546.0
hip thrust,0.03564727954971857,0.03411131059245961,0.03486238532110092,557.0
incline bench press,0.053445850914205346,0.05212620027434842,0.05277777777777778,729.0
lat pulldown,0.045714285714285714,0.03715170278637771,0.04099060631938514,646.0
lateral raises,0.05176470588235294,0.05219454329774614,0.05197873597164796,843.0
leg extension,0.03590664272890485,0.034129692832764506,0.03499562554680665,586.0
leg raises,0.03643724696356275,0.03501945525291829,0.03571428571428571,514.0
plank,0.07397260273972603,0.08157099697885196,0.07758620689655173,993.0
pull up,0.028523489932885907,0.027642276422764227,0.028075970272502065,615.0
push up,0.03281519861830743,0.03161397670549085,0.03220338983050847,601.0
romanian deadlift,0.03710575139146568,0.036036036036036036,0.03656307129798903,555.0
russian twist,0.029876977152899824,0.032567049808429116,0.031164069660861594,522.0
shoulder press,0.03067484662576687,0.029296875,0.029970029970029972,512.0
squat,0.05687203791469194,0.0646900269541779,0.0605296343001261,742.0
t bar row,0.03896103896103896,0.02694610778443114,0.03185840707964602,668.0
tricep dips,0.05421103581800581,0.08022922636103152,0.06470248411322935,698.0
tricep pushdown,0.04597701149425287,0.0448,0.04538087520259319,625.0
accuracy,0.045766260015881036,0.045766260015881036,0.045766260015881036,0.045766260015881036
macro avg,0.04346051359015913,0.043739142541563546,0.04338357078695298,13853.0
weighted avg,0.045102554640405974,0.045766260015881036,0.04519659197473658,13853.0
