,precision,recall,f1-score,support
barbell biceps curl,0.05747126436781609,0.06140350877192982,0.05937234944868533,570.0
bench press,0.043010752688172046,0.0486815415821501,0.04567078972407231,493.0
chest fly machine,0.057007125890736345,0.055944055944055944,0.05647058823529412,429.0
deadlift,0.04524886877828054,0.04608294930875576,0.045662100456621,434.0
decline bench press,0.03759398496240601,0.03640776699029126,0.036991368680641186,412.0
hammer curl,0.03827751196172249,0.0365296803652968,0.037383177570093455,438.0
hip thrust,0.028037383177570093,0.02654867256637168,0.02727272727272727,452.0
incline bench press,0.05067567567567568,0.05067567567567568,0.05067567567567568,592.0
lat pulldown,0.04921259842519685,0.04873294346978557,0.04897159647404505,513.0
lateral raises,0.05192878338278932,0.051319648093841645,0.051622418879056046,682.0
leg extension,0.033707865168539325,0.032467532467532464,0.03307607497243661,462.0
leg raises,0.03571428571428571,0.03535353535353535,0.03553299492385787,396.0
plank,0.07816377171215881,0.07924528301886792,0.07870081199250469,795.0
pull up,0.028747433264887063,0.028,0.028368794326241134,500.0
push up,0.02536997885835095,0.024896265560165973,0.025130890052356022,482.0
romanian deadlift,0.033632286995515695,0.033482142857142856,0.03355704697986577,448.0
russian twist,0.030303030303030304,0.03132530120481928,0.030805687203791468,415.0
shoulder press,0.03,0.029197080291970802,0.029593094944512947,411.0
squat,0.05693950177935943,0.05653710247349823,0.05673758865248227,566.0
t bar row,0.048507462686567165,0.04779411764705882,0.04814814814814815,544.0
tricep dips,0.05516014234875445,0.055855855855855854,0.05550581915846016,555.0
tricep pushdown,0.04233870967741935,0.04251012145748988,0.04242424242424243,494.0
accuracy,0.04547505188125959,0.04547505188125959,0.04547505188125959,0.04547505188125959
macro avg,0.04350220080996517,0.043590490043458704,0.043530635736173225,11083.0
weighted avg,0.045314610445514665,0.04547505188125959,0.045379277838636635,11083.0
